CATALOG_BRAND,LAST_COMPLETED_WEEK_START,LAST_6W_REV_RUN_RATE,LAST_6W_UNITS_RUN_RATE,LAST_6W_REV_RUN_RATE_YOY,LAST_6W_UNITS_RUN_RATE_YOY,LAST_6W_REV_RUN_RATE_YOY_PCT,LAST_6W_UNITS_RUN_RATE_YOY_PCT,LAST_WEEK_REV,LAST_WEEK_UNITS,LAST_WEEK_REV_YOY,LAST_WEEK_UNITS_YOY,LAST_WEEK_REV_YOY_PCT,LAST_WEEK_UNITS_YOY_PCT,YTD_REV,YTD_UNITS,YTD_REV_YOY,YTD_UNITS_YOY,YTD_REV_YOY_PCT,YTD_UNITS_YOY_PCT,FCST_13W_UNITS_TOTAL_IM,FCST_13W_UNITS_RUN_RATE_IM,FCST_13W_UNITS_RUN_RATE_YOY_IM,FCST_13W_UNITS_RUN_RATE_YOY_PCT_IM,FCST_13W_UNITS_TOTAL_AE,FCST_13W_UNITS_RUN_RATE_AE,FCST_13W_UNITS_RUN_RATE_YOY_AE,FCST_13W_UNITS_RUN_RATE_YOY_PCT_AE,INVENTORY_UNITS,INVENTORY_VALUE_USD,WOS_WEEKS_IM,WOS_WEEKS_AE
All Brands,2026-03-15,"56,463,533","1,647,316","40,014,838","1,169,006",41%,41%,"58,262,955","1,688,877","40,030,766","1,165,620",46%,45%,"616,815,229","18,300,633","451,270,315","13,249,906",37%,38%,"22,646,346","1,742,027","1,240,666",40%,"19,674,406","1,513,416","1,240,666",22%,"12,550,972","251,049,898",7,8
Atrium - Pure Encapsulations,2026-03-15,"11,978,962","318,398","8,369,347","232,818",43%,37%,"12,368,418","325,534","8,348,516","230,636",48%,41%,"133,382,180","3,648,536","94,247,291","2,628,818",42%,39%,"4,301,919","330,917","246,649",34%,"4,088,905","314,531","246,649",28%,"1,945,492","40,164,189",6,6
Thorne Research,2026-03-15,"10,330,512","288,364","5,843,360","180,195",77%,60%,"10,888,239","301,447","5,949,660","177,585",83%,70%,"111,610,288","3,155,291","64,186,874","2,026,502",74%,56%,"3,780,282","290,791","191,733",52%,"3,281,406","252,416","191,733",32%,"1,858,724","42,532,714",6,7
MegaFood,2026-03-15,"1,433,198","51,313","1,195,898","44,575",20%,15%,"1,493,340","52,465","1,190,618","44,220",25%,19%,"15,986,302","577,231","13,232,649","502,913",21%,15%,"643,153","49,473","44,279",12%,"641,472","49,344","44,279",11%,"382,160","6,485,188",8,8
Integrative Therapeutics,2026-03-15,"1,337,821","42,962","1,174,498","37,912",14%,13%,"1,421,963","44,688","1,142,087","36,721",25%,22%,"14,799,464","490,604","13,310,268","433,185",11%,13%,"549,818","42,294","38,200",11%,"524,760","40,366","38,200",6%,"289,529","4,765,779",7,7
Metagenics,2026-03-15,"1,580,817","37,119","1,125,179","24,982",40%,49%,"1,711,605","39,457","1,111,473","24,655",54%,60%,"17,321,047","424,153","12,549,610","285,693",38%,48%,"541,986","41,691","26,389",58%,"401,104","30,854","26,389",17%,"261,579","7,512,191",6,8
KONG,2026-03-15,"441,174","35,046","364,643","29,698",21%,18%,"431,888","34,366","347,504","28,373",24%,21%,"4,937,162","392,867","4,100,211","336,291",20%,17%,"465,625","35,817","28,385",26%,"364,536","28,041","28,385",-1%,"253,961","1,018,945",7,9
Swanson,2026-03-15,"576,831","34,473","393,170","24,882",47%,39%,"584,207","34,868","424,182","26,892",38%,30%,"6,491,726","390,783","4,376,440","277,186",48%,41%,"456,228","35,094","28,078",25%,"463,934","35,687","28,078",27%,"321,689","2,654,368",9,9
Gaia Herbs,2026-03-15,"811,553","24,500","828,137","24,696",-2%,-1%,"837,609","24,985","778,113","23,182",8%,8%,"9,222,907","283,494","9,759,157","292,192",-5%,-3%,"343,573","26,429","20,178",31%,"313,291","24,099","20,178",19%,"183,962","3,490,641",7,8
Natural Factors,2026-03-15,"585,836","24,538","343,432","14,066",71%,74%,"678,821","29,217","365,084","14,769",86%,98%,"6,484,708","273,852","3,762,062","156,220",72%,75%,"315,410","24,262","16,839",44%,"264,956","20,381","16,839",21%,"146,663","1,799,725",6,7
Vetoquinol,2026-03-15,"738,013","24,167",0,0,,,"748,979","24,043",0,0,,,"8,261,332","273,122",0,0,,,"307,421","23,648",,,"266,865","20,528",,,"163,097","2,827,352",7,8
Standard Process,2026-03-15,"848,405","22,344","845,208","19,980",0%,12%,"869,497","22,560","833,557","19,728",4%,14%,"9,524,797","254,545","9,845,092","232,306",-3%,10%,"285,665","21,974","19,039",15%,"294,344","22,642","19,039",19%,"154,954","3,653,260",7,7
Yogi,2026-03-15,"432,371","21,008","469,405","22,589",-8%,-7%,"407,012","19,608","437,722","21,072",-7%,-7%,"5,136,273","247,363","5,879,262","284,003",-13%,-13%,"240,911","18,532","17,919",3%,"231,881","17,837","17,919",0%,"259,438","2,162,138",14,15
Trace Minerals,2026-03-15,"480,367","20,053","483,872","18,615",-1%,8%,"261,105","9,665","476,145","18,408",-45%,-47%,"5,858,415","246,540","5,329,666","205,858",10%,20%,"11,887",914,"19,290",-95%,"277,918","21,378","19,290",11%,"54,226","1,069,488",59,3
Dr Mercola,2026-03-15,"642,328","20,991","633,940","20,297",1%,3%,"649,043","20,582","639,158","20,273",2%,2%,"7,354,998","241,368","6,900,415","222,506",7%,8%,"306,482","23,576","21,594",9%,"322,936","24,841","21,594",15%,"100,661","1,873,853",4,4
Hims & Hers,2026-03-15,"486,056","20,531",0,0,,,"504,717","20,492",0,0,,,"5,507,428","241,044",0,0,,,"275,274","21,175",586,"3,512%","216,614","16,663",586,"2,742%","212,988","2,170,526",10,13
Sakura,2026-03-15,"266,696","18,880","220,994","16,115",21%,17%,"245,799","17,386","204,985","14,932",20%,16%,"3,232,819","233,977","2,902,174","210,928",11%,11%,"235,105","18,085","13,260",36%,"199,472","15,344","13,260",16%,"193,626","1,286,341",11,13
Youtheory,2026-03-15,"348,182","19,449","297,790","17,051",17%,14%,"373,608","20,424","289,151","16,290",29%,25%,"3,895,690","220,425","3,148,476","181,915",24%,21%,"297,688","22,899","16,201",41%,0,0,"16,201",-100%,"152,295","1,301,361",7,
GNC,2026-03-15,"973,884","25,321",0,0,,,"1,062,879","27,808",0,0,,,"8,000,033","208,463",0,0,,,"404,575","31,121",,,0,0,,,"147,970","2,855,350",5,
Sylvania,2026-03-15,"419,261","17,955","289,920","19,832",45%,-9%,"381,382","16,857","234,476","17,660",63%,-5%,"4,682,943","198,460","3,446,976","225,755",36%,-12%,"230,154","17,704","18,733",-5%,"173,644","13,357","18,733",-29%,"151,143","1,879,268",9,11
