CATALOG_BRAND,LAST_COMPLETED_WEEK_START,REV_WK_5,REV_WK_4,REV_WK_3,REV_WK_2,REV_WK_1,REV_WK_0,UNITS_WK_5,UNITS_WK_4,UNITS_WK_3,UNITS_WK_2,UNITS_WK_1,UNITS_WK_0,LAST_WEEK_REV,LAST_WEEK_UNITS,LAST_WEEK_REV_YOY,LAST_WEEK_UNITS_YOY,LAST_WEEK_REV_YOY_PCT,LAST_WEEK_UNITS_YOY_PCT,YTD_REV,YTD_UNITS,YTD_REV_YOY,YTD_UNITS_YOY,YTD_REV_YOY_PCT,YTD_UNITS_YOY_PCT,FCST_13W_UNITS_TOTAL_IM,FCST_13W_UNITS_RUN_RATE_IM,FCST_13W_UNITS_RUN_RATE_YOY_IM,FCST_13W_UNITS_RUN_RATE_YOY_PCT_IM,FCST_13W_UNITS_TOTAL_AE,FCST_13W_UNITS_RUN_RATE_AE,FCST_13W_UNITS_RUN_RATE_YOY_AE,FCST_13W_UNITS_RUN_RATE_YOY_PCT_AE,INVENTORY_UNITS,INVENTORY_VALUE_USD,WOS_WEEKS_IM,WOS_WEEKS_AE
All Brands,2026-03-15,"55,664,184","55,275,795","55,903,855","56,363,415","57,310,997","58,262,955","1,639,287","1,625,606","1,633,064","1,638,509","1,658,554","1,688,877","58,262,955","1,688,877","40,030,766","1,165,620",46%,45%,"616,815,229","18,300,633","451,270,315","13,249,906",37%,38%,"22,646,346","1,742,027","1,240,666",40%,0,0,"1,240,666",-100%,"12,550,972","251,049,898",7,
Atrium - Pure Encapsulations,2026-03-15,"11,623,638","11,794,714","11,954,308","11,959,456","12,173,238","12,368,418","312,221","315,302","317,084","318,004","322,241","325,534","12,368,418","325,534","8,348,516","230,636",48%,41%,"133,382,180","3,648,536","94,247,291","2,628,818",42%,39%,"4,301,919","330,917","246,649",34%,0,0,"246,649",-100%,"1,945,492","40,164,189",6,
Thorne Research,2026-03-15,"10,159,238","10,079,062","10,078,613","10,273,218","10,504,701","10,888,239","285,756","281,931","281,979","286,997","292,074","301,447","10,888,239","301,447","5,949,660","177,585",83%,70%,"111,610,288","3,155,291","64,186,874","2,026,502",74%,56%,"3,780,282","290,791","191,733",52%,0,0,"191,733",-100%,"1,858,724","42,532,714",6,
MegaFood,2026-03-15,"1,493,626","1,416,915","1,400,805","1,393,840","1,400,662","1,493,340","53,259","51,084","50,812","50,238","50,020","52,465","1,493,340","52,465","1,190,618","44,220",25%,19%,"15,986,302","577,231","13,232,649","502,913",21%,15%,"643,153","49,473","44,279",12%,0,0,"44,279",-100%,"382,160","6,485,188",8,
Integrative Therapeutics,2026-03-15,"1,356,178","1,297,295","1,341,794","1,326,694","1,283,004","1,421,963","44,017","42,224","43,206","42,943","40,692","44,688","1,421,963","44,688","1,142,087","36,721",25%,22%,"14,799,464","490,604","13,310,268","433,185",11%,13%,"549,818","42,294","38,200",11%,0,0,"38,200",-100%,"289,529","4,765,779",7,
Metagenics,2026-03-15,"1,548,963","1,501,454","1,530,426","1,573,836","1,618,616","1,711,605","36,818","35,731","36,124","36,876","37,709","39,457","1,711,605","39,457","1,111,473","24,655",54%,60%,"17,321,047","424,153","12,549,610","285,693",38%,48%,"541,986","41,691","26,389",58%,0,0,"26,389",-100%,"261,579","7,512,191",6,
KONG,2026-03-15,"436,730","454,668","454,387","439,848","429,522","431,888","34,587","36,216","35,755","34,842","34,511","34,366","431,888","34,366","347,504","28,373",24%,21%,"4,937,162","392,867","4,100,211","336,291",20%,17%,"465,625","35,817","28,385",26%,0,0,"28,385",-100%,"253,961","1,018,945",7,
Swanson,2026-03-15,"599,314","560,599","551,870","579,626","585,368","584,207","36,070","33,446","32,688","34,540","35,223","34,868","584,207","34,868","424,182","26,892",38%,30%,"6,491,726","390,783","4,376,440","277,186",48%,41%,"456,228","35,094","28,078",25%,0,0,"28,078",-100%,"321,689","2,654,368",9,
Gaia Herbs,2026-03-15,"859,898","813,462","782,031","778,358","797,962","837,609","26,075","24,781","23,698","23,450","24,008","24,985","837,609","24,985","778,113","23,182",8%,8%,"9,222,907","283,494","9,759,157","292,192",-5%,-3%,"343,573","26,429","20,178",31%,0,0,"20,178",-100%,"183,962","3,490,641",7,
Natural Factors,2026-03-15,"572,934","556,267","567,287","566,499","573,210","678,821","23,951","23,299","23,700","23,329","23,734","29,217","678,821","29,217","365,084","14,769",86%,98%,"6,484,708","273,852","3,762,062","156,220",72%,75%,"315,410","24,262","16,839",44%,0,0,"16,839",-100%,"146,663","1,799,725",6,
Vetoquinol,2026-03-15,"759,326","741,624","736,923","710,800","730,424","748,979","24,709","24,449","24,501","23,468","23,829","24,043","748,979","24,043",0,0,,,"8,261,332","273,122",0,0,,,"307,421","23,648",,,0,0,,,"163,097","2,827,352",7,
Standard Process,2026-03-15,"835,961","856,714","854,188","843,569","830,501","869,497","22,587","22,515","22,415","22,175","21,811","22,560","869,497","22,560","833,557","19,728",4%,14%,"9,524,797","254,545","9,845,092","232,306",-3%,10%,"285,665","21,974","19,039",15%,0,0,"19,039",-100%,"154,954","3,653,260",7,
Yogi,2026-03-15,"423,476","450,319","451,611","450,711","411,099","407,012","20,530","21,557","22,189","22,151","20,010","19,608","407,012","19,608","437,722","21,072",-7%,-7%,"5,136,273","247,363","5,879,262","284,003",-13%,-13%,"240,911","18,532","17,919",3%,0,0,"17,919",-100%,"259,438","2,162,138",14,
Trace Minerals,2026-03-15,"614,436","582,090","541,810","492,826","389,938","261,105","24,345","26,245","24,056","19,895","16,111","9,665","261,105","9,665","476,145","18,408",-45%,-47%,"5,858,415","246,540","5,329,666","205,858",10%,20%,"11,887",914,"19,290",-95%,0,0,"19,290",-100%,"54,226","1,069,488",59,
Dr Mercola,2026-03-15,"679,328","641,801","642,273","619,633","621,888","649,043","22,493","21,529","21,260","20,332","19,752","20,582","649,043","20,582","639,158","20,273",2%,2%,"7,354,998","241,368","6,900,415","222,506",7%,8%,"306,482","23,576","21,594",9%,0,0,"21,594",-100%,"100,661","1,873,853",4,
Hims & Hers,2026-03-15,"500,363","468,333","486,727","478,784","477,409","504,717","23,997","19,391","19,708","19,864","19,735","20,492","504,717","20,492",0,0,,,"5,507,428","241,044",0,0,,,"275,274","21,175",586,"3,512%",0,0,586,-100%,"212,988","2,170,526",10,
Sakura,2026-03-15,"274,838","267,941","292,943","263,685","254,969","245,799","19,873","19,279","20,429","18,264","18,046","17,386","245,799","17,386","204,985","14,932",20%,16%,"3,232,819","233,977","2,902,174","210,928",11%,11%,"235,105","18,085","13,260",36%,0,0,"13,260",-100%,"193,626","1,286,341",11,
Youtheory,2026-03-15,"340,803","330,795","331,991","348,030","363,864","373,608","19,042","18,655","19,257","19,254","20,060","20,424","373,608","20,424","289,151","16,290",29%,25%,"3,895,690","220,425","3,148,476","181,915",24%,21%,"297,688","22,899","16,201",41%,0,0,"16,201",-100%,"152,295","1,301,361",7,
GNC,2026-03-15,"853,796","910,460","958,660","1,022,129","1,035,378","1,062,879","22,008","23,473","24,667","26,854","27,118","27,808","1,062,879","27,808",0,0,,,"8,000,033","208,463",0,0,,,"404,575","31,121",,,0,0,,,"147,970","2,855,350",5,
Sylvania,2026-03-15,"411,258","447,030","406,501","429,547","439,847","381,382","17,456","18,976","17,237","18,320","18,886","16,857","381,382","16,857","234,476","17,660",63%,-5%,"4,682,943","198,460","3,446,976","225,755",36%,-12%,"230,154","17,704","18,733",-5%,0,0,"18,733",-100%,"151,143","1,879,268",9,
Spanx,2026-03-15,"661,367","680,893","711,352","728,253","742,664","712,372","16,625","16,627","17,142","17,630","18,189","17,478","712,372","17,478","523,707","14,485",36%,21%,"7,769,643","190,528","5,658,638","158,172",37%,20%,"151,537","11,657","17,828",-35%,0,0,"17,828",-100%,"200,120","4,692,375",17,
Pura,2026-03-15,"589,574","494,007","497,585","525,831","566,376","556,793","19,658","14,194","14,196","14,653","15,866","16,001","556,793","16,001","324,053","8,658",72%,85%,"5,861,844","171,918","3,439,622","97,383",70%,77%,"262,948","20,227","10,657",90%,0,0,"10,657",-100%,"162,502","3,674,099",8,
Seeking Health,2026-03-15,"460,504","457,749","444,877","432,776","445,133","470,866","14,036","13,936","13,746","13,316","13,619","14,585","470,866","14,585","333,785","10,953",41%,33%,"4,927,475","154,533","3,453,207","116,137",43%,33%,"180,967","13,921","11,181",25%,0,0,"11,181",-100%,"78,193","1,416,066",6,
Host Defense,2026-03-15,"475,405","456,991","447,330","453,921","467,922","470,526","13,853","13,469","13,319","13,321","13,705","13,725","470,526","13,725","483,127","14,457",-3%,-5%,"5,261,648","154,526","5,628,592","170,422",-7%,-9%,"187,201","14,400","13,864",4%,0,0,"13,864",-100%,"78,232","1,285,880",5,
Kevin Murphy,2026-03-15,"467,525","452,764","472,604","501,936","519,594","497,049","12,943","12,415","12,832","13,671","14,136","13,667","497,049","13,667","408,709","10,491",22%,30%,"5,194,052","142,991","3,422,615","88,710",52%,61%,"175,405","13,493","11,001",23%,0,0,"11,001",-100%,"76,962","1,788,246",6,
EZ Melts,2026-03-15,"275,699","266,329","274,858","278,786","282,038","292,970","13,045","12,527","12,879","13,026","13,228","13,657","292,970","13,657",0,0,,,"2,908,215","142,158",0,0,,,"183,907","14,147","2,622",440%,0,0,"2,622",-100%,"93,361","1,133,883",7,
Vital Nutrients,2026-03-15,"446,574","442,325","426,058","428,156","440,310","456,704","12,446","12,240","11,710","11,664","11,971","12,303","456,704","12,303","391,892","11,222",17%,10%,"4,894,241","137,029","4,326,024","125,446",13%,9%,"158,982","12,229","11,240",9%,0,0,"11,240",-100%,"71,928","1,550,048",6,
Superfeet,2026-03-15,"626,180","646,994","657,811","721,489","726,408","653,548","11,656","12,058","12,482","13,644","13,687","11,603","653,548","11,603","646,683","11,990",1%,-3%,"7,229,181","136,913","6,650,953","123,760",9%,11%,"182,068","14,005","13,194",6%,0,0,"13,194",-100%,"111,878","3,243,173",8,
